Run #1	Run #1	Run #1	Run #1
Time (s)	Temperature (°C)	Temperature (°C)	Counts (counts/sample)
0,000	25,6	22,6	
10,000	25,6	22,6	0
20,000	25,6	22,5	0
30,000	25,7	22,5	1
40,000	25,9	22,4	0
50,000	26,1	22,2	1
60,000	26,5	22,0	1
70,000	26,6	21,7	0
80,000	26,9	21,5	1
90,000	27,1	21,3	1
100,000	27,3	21,0	0
110,000	27,5	20,7	3
120,000	27,8	20,4	1
130,000	28,0	20,2	0
140,000	28,2	19,9	1
150,000	28,5	19,7	1
160,000	28,7	19,4	0
170,000	28,9	19,2	1
180,000	29,1	18,9	1
190,000	29,4	18,7	1
200,000	29,6	18,4	0
210,000	29,8	18,2	1
220,000	30,0	18,0	2
230,000	30,2	17,7	0
240,000	30,5	17,5	1
250,000	30,7	17,2	1
260,000	30,9	17,0	0
270,000	31,1	16,7	1
280,000	31,3	16,5	1
290,000	31,6	16,3	1
300,000	31,8	16,0	0
310,000	32,0	15,8	1
320,000	32,2	15,6	1
330,000	32,4	15,4	0
340,000	32,6	15,2	1
350,000	32,8	15,0	2
360,000	33,0	14,7	1
370,000	33,2	14,5	0
380,000	33,4	14,3	1
390,000	33,6	14,1	1
400,000	33,8	13,9	2
410,000	34,0	13,7	0
420,000	34,2	13,5	1
430,000	34,4	13,3	1
440,000	34,6	13,2	0
450,000	34,8	13,0	1
460,000	35,0	12,8	1
470,000	35,2	12,6	1
480,000	35,3	12,4	0
490,000	35,5	12,3	1
500,000	35,7	12,1	1
510,000	35,9	11,9	0
520,000	36,1	11,7	1
530,000	36,2	11,6	1
540,000	36,4	11,4	1
550,000	36,6	11,2	0
560,000	36,8	11,1	2
570,000	37,0	10,9	2
580,000	37,2	10,7	1
590,000	37,3	10,6	0
600,000	37,5	10,5	3
610,000	37,7	10,3	1
620,000	37,8	10,1	0
630,000	38,0	10,0	2
640,000	38,2	9,8	1
650,000	38,3	9,7	1
660,000	38,5	9,6	0
670,000	38,7	9,4	1
680,000	38,8	9,3	1
690,000	39,0	9,1	1
700,000	39,1	9,0	0
710,000	39,3	8,9	1
720,000	39,5	8,7	1
730,000	39,6	8,6	0
740,000	39,7	8,5	2
750,000	39,9	8,4	1
760,000	40,1	8,2	1
770,000	40,2	8,1	0
780,000	40,4	8,0	1
790,000	40,5	7,9	2
800,000	40,7	7,7	0
810,000	40,9	7,6	1
820,000	41,0	7,5	1
830,000	41,2	7,4	0
840,000	41,3	7,2	1
850,000	41,4	7,2	1
860,000	41,6	7,1	1
870,000	41,7	6,9	0
880,000	41,8	6,8	1
890,000	42,0	6,7	1
900,000	42,1	6,7	0
910,000	42,2	6,5	1
920,000	42,4	6,4	1
930,000	42,5	6,3	1
940,000	42,6	6,3	0
950,000	42,8	6,2	1
960,000	42,9	6,0	1
970,000	43,1	5,9	0
980,000	43,2	5,8	1
990,000	43,3	5,8	1
1000,000	43,4	5,7	0
1010,000	43,6	5,6	2
1020,000	43,7	5,5	2
1030,000	43,8	5,4	1
1040,000	43,9	5,3	0
1050,000	44,1	5,3	1
1060,000	44,2	5,2	1
1070,000	44,3	5,1	0
1080,000	44,4	5,1	1
1090,000	44,6	4,9	1
1100,000	44,7	4,9	0
1110,000	44,8	4,8	1
1120,000	44,9	4,7	1
1130,000	45,0	4,6	1
1140,000	45,2	4,6	0
1150,000	45,3	4,5	1
1160,000	45,4	4,5	1
1170,000	45,5	4,4	0
1180,000	45,6	4,3	1
1190,000	45,8	4,2	1
1200,000	45,9	4,1	1
1210,000	46,0	4,0	0
1220,000	46,1	4,0	1
1230,000	46,2	3,9	1
1240,000	46,3	3,9	0
